Model,Accuracy,Precision,Recall,F1
Random Forest,0.963764977623791,0.9695038689121529,0.9461410327595781,0.9576799865115495
XGBoost,0.9618401424378038,0.9694717585181798,0.941588006662965,0.9553264604810997
MLP,0.9584235599826765,0.9666399174595895,0.9363686840644087,0.9512635379061372
RBF SVM,0.9530340214619123,0.9541803371422106,0.9365907828983898,0.9453037435552567
kNN,0.9295510321928685,0.9422873900293255,0.892059966685175,0.9164860239589275
LSVM,0.8764255810596218,0.8699850557535349,0.8404219877845641,0.8549480343425214
Naive Bayes,0.8499109763726481,0.8294894760412002,0.822765130483065,0.8261136198918436
