Model,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Recall Mean,CV F1 Mean,CV F2 Mean
Random Forest,0.9620562064448899,0.0018736470500224176,0.9717051266436509,0.9398112159911161,0.9554810329126433,0.9460145252674111
kNN,0.926169649098685,0.0028154541779995853,0.9432234550919485,0.8827595780122154,0.9119819581948496,0.8942190351183182
Logistic Regression,0.8746435677741031,0.003360405868459708,0.8700711309275337,0.8354802887284842,0.852421816846842,0.8421747354820337
Naive Bayes,0.8481286372813651,0.0037855126062861545,0.8326207772435239,0.8129372570794002,0.8226517866432672,0.8167932087839253
