Model,Accuracy_Baseline,Precision_Baseline,Recall_Baseline,F1_Baseline,Specificity_Baseline,MCC_Baseline,Accuracy_SHAP,Precision_SHAP,Recall_SHAP,F1_SHAP,Specificity_SHAP,MCC_SHAP,Delta_Accuracy,Delta_F1,Delta_MCC
XGBoost,0.9628599262328683,0.9702545103965419,0.9432093281510271,0.9565401677003514,0.9778868070940645,0.9244088768600959,0.9616857864954842,0.97099309642211,0.9396557468073293,0.9550661488721843,0.9785322596464507,0.92206586843128,-0.0012,-0.0015,-0.0023
MLP,0.9570276033685357,0.9558567806712862,0.9445641310383122,0.9501351342058971,0.966558314294286,0.9124953141813166,0.9573548670333023,0.9619884525156254,0.9387007218212104,0.9501890710882911,0.9716198032054832,0.913145123695244,0.0003,0.0001,0.0006
Random Forest,0.9626000804299515,0.9723557270816926,0.9404330927262633,0.95612437726134,0.9795512842702851,0.9239462177773149,0.9567966513981293,0.9620466670723964,0.9372792892837312,0.9494988715828587,0.9717216649935384,0.9120021841767256,-0.0058,-0.0066,-0.0119
RBF SVM,0.9525234723600662,0.9574425678762942,0.9318600777345919,0.9444766289141693,0.9683248681690205,0.9032778363952577,0.9546504383978869,0.9621053088458327,0.9320599666851749,0.9468423872834079,0.9719254852072373,0.9076681886907109,0.0021,0.0024,0.0044
kNN,0.9270191537311121,0.9435433078898011,0.8845086063298169,0.9130694051665451,0.959527126315425,0.8516157099868625,0.9379715571791605,0.956807241531374,0.8973681288173238,0.9261291144284922,0.969021205460168,0.8741066262129156,0.011,0.0131,0.0225
Logistic Regression,0.8752117186707948,0.8708166980666627,0.8360910605219323,0.8530857759709697,0.9051274750761561,0.7451943240162537,0.8732772361515726,0.8676432736359688,0.8349583564686286,0.8509757269084008,0.9025798702460076,0.7412471689790848,-0.0019,-0.0021,-0.0039
LSVM,0.8743936516749515,0.8709514826403726,0.833692393114936,0.8519016940505193,0.9055180928643958,0.7434987762866232,0.8726324010804458,0.8679344633382409,0.8328262076624098,0.8500042181955727,0.903072384438752,0.7399080836551527,-0.0018,-0.0019,-0.0036
Naive Bayes,0.8484177271207102,0.8314986733584357,0.8154580788450859,0.8233814536752408,0.8736221239499677,0.6907662540977528,0.8555300751097923,0.8408214911132399,0.8222987229317047,0.8314349057462325,0.8809422612041908,0.7052238171545964,0.0071,0.0081,0.0145
