Model,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Recall Mean,CV F1 Mean
Random Forest,0.9626000804299515,0.0010447430125280124,0.9723557270816926,0.9404330927262633,0.95612437726134
MLP,0.9570276033685357,0.002428993578567033,0.9558567806712862,0.9445641310383122,0.9501351342058971
RBF SVM,0.9525234723600662,0.0011181197976320109,0.9574425678762942,0.9318600777345919,0.9444766289141693
kNN,0.9270191537311121,0.0018899871741046392,0.9435433078898011,0.8845086063298169,0.9130694051665451
LSVM,0.8743936516749515,0.002684393180029036,0.8709514826403726,0.833692393114936,0.8519016940505193
Naive Bayes,0.8484177271207102,0.0030562666871362804,0.8314986733584357,0.8154580788450859,0.8233814536752408
