Model,CV Accuracy Mean,CV Accuracy Std,CV Precision Mean,CV Recall Mean,CV F1 Mean,CV Specificity Mean,CV MCC Mean,External Accuracy,External Precision,External Recall,External F1,External Specificity,External MCC
XGBoost,0.9628599262328683,0.0015632160217961333,0.9702545103965419,0.9432093281510271,0.9565401677003514,0.9778868070940645,0.9244088768600959,0.9634277794887589,0.9715780925742128,0.944312900114005,0.9577514898158854,0.9783846840046662,0.925813835698133
Random Forest,0.9626000804299515,0.0010447430125280124,0.9723557270816926,0.9404330927262633,0.95612437726134,0.9795512842702851,0.9239462177773149,0.9634277794887589,0.9728580475888899,0.9429974568096116,0.9576950480940506,0.9794139847663488,0.9258498731635585
MLP,0.9570276033685357,0.002428993578567033,0.9558567806712862,0.9445641310383122,0.9501351342058971,0.966558314294286,0.9124953141813166,0.9596550662149677,0.96380901191436,0.943523634131369,0.95355845076664,0.9722774994853496,0.9180646127128905
RBF SVM,0.9525234723600662,0.0011181197976320109,0.9574425678762942,0.9318600777345919,0.9444766289141693,0.9683248681690205,0.9032778363952577,0.9541884816753927,0.9583520330311462,0.9363325440673507,0.9472143364088006,0.9681602964386193,0.9069499385878484
kNN,0.9270191537311121,0.0018899871741046392,0.9435433078898011,0.8845086063298169,0.9130694051665451,0.959527126315425,0.8516157099868625,0.929242377579304,0.9446768944676894,0.8909935981759186,0.9170502752956043,0.9591710697865916,0.8565649440710419
Logistic Regression,0.8752117186707948,0.002184826013953158,0.8708166980666627,0.8360910605219323,0.8530857759709697,0.9051274750761561,0.7451943240162537,0.8718432399137666,0.8693504117108874,0.8332894852231869,0.8509380737025926,0.9020105674878199,0.7391422574381099
LSVM,0.8743936516749515,0.002684393180029036,0.8709514826403726,0.833692393114936,0.8519016940505193,0.9055180928643958,0.7434987762866232,0.8707653218355405,0.8693536540580242,0.830395509953521,0.8494281228975107,0.9023536677417141,0.7369318145828017
Naive Bayes,0.8484177271207102,0.0030562666871362804,0.8314986733584357,0.8154580788450859,0.8233814536752408,0.8736221239499677,0.6907662540977528,0.844125346473668,0.8291853178155775,0.8122423923528896,0.8206264120852346,0.8690729431139779,0.6829466042204022
