Model,Accuracy,Precision,Recall,F1,Specificity,MCC
XGBoost,0.9616857864954842,0.97099309642211,0.9396557468073293,0.9550661488721843,0.9785322596464507,0.92206586843128
MLP,0.9573548670333023,0.9619884525156254,0.9387007218212104,0.9501890710882911,0.9716198032054832,0.913145123695244
Random Forest,0.9567966513981293,0.9620466670723964,0.9372792892837312,0.9494988715828587,0.9717216649935384,0.9120021841767256
RBF SVM,0.9546504383978869,0.9621053088458327,0.9320599666851749,0.9468423872834079,0.9719254852072373,0.9076681886907109
kNN,0.9379715571791605,0.956807241531374,0.8973681288173238,0.9261291144284922,0.969021205460168,0.8741066262129156
Logistic Regression,0.8732772361515726,0.8676432736359688,0.8349583564686286,0.8509757269084008,0.9025798702460076,0.7412471689790848
LSVM,0.8726324010804458,0.8679344633382409,0.8328262076624098,0.8500042181955727,0.903072384438752,0.7399080836551527
Naive Bayes,0.8555300751097923,0.8408214911132399,0.8222987229317047,0.8314349057462325,0.8809422612041908,0.7052238171545964
